ACTO,CONVOCATORIA,SERIE,ZONA,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS
30/6/2024,Partido_Nacional,AUA,La Blanqueada,Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,AUB,La Blanqueada,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,AVA,Cordón,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,AVB,Parque Rodó,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,AXA,Pocitos,Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,AXB,Punta Carretas,Primario,"CORBRAN RIZZO, Roxana Lilián",911,2
30/6/2024,Partido_Nacional,AZA,"Parque Batlle, Villa Dolores",Primario,"CORBRAN RIZZO, Roxana Lilián",911,3
30/6/2024,Partido_Nacional,AZB,Pocitos,Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,BAA,Pocitos,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BAB,"Parque Batlle, Villa Dolores",Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,BBA,"Castro, P. Castellanos",Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,BBB,"Castro, P. Castellanos",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BBC,"Castro, P. Castellanos",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BBD,"Castro, P. Castellanos",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BCA,Buceo,Primario,"CORBRAN RIZZO, Roxana Lilián",911,3
30/6/2024,Partido_Nacional,BCB,Unión,Primario,"CORBRAN RIZZO, Roxana Lilián",911,7
30/6/2024,Partido_Nacional,BCC,Malvín,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BCD,Carrasco Norte,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BCE,Unión,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BCF,Carrasco,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BCG,Malvín Norte,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BDA,Ituzaingó,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BDB,Flor de Maroñas,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BDC,"Villa García, Manga Rural",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BDD,"Manga, Toledo Chico",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BDE,Bella Italia,Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,BDF,Piedras Blancas,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BEA,Aguada,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BEB,Aguada,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BFA,Aguada,Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,BFB,Aguada,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BGA,Aguada,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BGB,Aguada,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BHA,Aguada,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BHB,Aguada,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BIA,Aguada,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BIB,Reducto,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BJA,"Villa Muñoz, Retiro",Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,BJB,"Villa Muñoz, Retiro",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BKA,"Villa Muñoz, Retiro",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BKB,"Villa Muñoz, Retiro",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BLA,Jacinto Vera,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BLB,Larrañaga,Primario,"CORBRAN RIZZO, Roxana Lilián",911,5
30/6/2024,Partido_Nacional,BMA,Atahualpa,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BMB,La Figurita,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BNA,Brazo Oriental,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BNB,Cerrito,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BNC,Cerrito,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BOA,Casavalle,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BOB,Manga,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BPA,"Capurro, Bella Vista",Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,BPB,"Capurro, Bella Vista",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BQA,"Prado, Nueva Savona",Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,BQB,Reducto,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BRA,"Lezica, Melilla",Primario,"CORBRAN RIZZO, Roxana Lilián",911,4
30/6/2024,Partido_Nacional,BRB,"Colón Sureste, Abayubá",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BRC,"Manga, Toledo Chico",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BSA,Cerro,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BSB,Cerro,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BTA,Cerro,Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,BTB,"Casabó, Pajas Blancas",Primario,"CORBRAN RIZZO, Roxana Lilián",911,1
30/6/2024,Partido_Nacional,BTC,"Casabó, Pajas Blancas",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BTD,"Casabó, Pajas Blancas",Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
30/6/2024,Partido_Nacional,BUA,La Teja,Primario,"CORBRAN RIZZO, Roxana Lilián",911,0
