ACTO;CONVOCATORIA;SERIE;ZONA;ESCRUTINIO;HOJA;CNT_VOTOS
30/6/2024;Partido_Nacional;BRC;Manga, Toledo Chico;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BSA;Cerro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BSB;Cerro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BTA;Cerro;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BTB;Casabó, Pajas Blancas;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BTC;Casabó, Pajas Blancas;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BTD;Casabó, Pajas Blancas;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BUA;La Teja;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BUB;La Teja;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BVA;Belvedere;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BVB;Belvedere;Primario;11.0;2.0
30/6/2024;Partido_Nacional;BVC;Nuevo París;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BXA;Playa la Colorada ( Pajas Blancas al nor;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BXB;Santiago Vázquez- Los Boulevares - Paso;Primario;11.0;1.0
30/6/2024;Partido_Nacional;BXC;Paso de la Arena;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BZA;Sayago;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BZB;Peñarol, Lavalleja;Primario;11.0;0.0
30/6/2024;Partido_Nacional;BZC;Peñarol, Lavalleja;Primario;11.0;0.0
30/6/2024;Partido_Nacional;AAA;Ciudad Vieja;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AAB;Ciudad Vieja;Primario;32.0;0.0
30/6/2024;Partido_Nacional;ABA;Ciudad Vieja (norte);Primario;32.0;0.0
30/6/2024;Partido_Nacional;ACA;Rambla (zona Sur);Primario;32.0;0.0
30/6/2024;Partido_Nacional;ACB;Ciudad Vieja;Primario;32.0;0.0
30/6/2024;Partido_Nacional;ADA;Rambla (zona sur);Primario;32.0;0.0
30/6/2024;Partido_Nacional;AEA;Plaza Independencia (norte, ady.);Primario;32.0;0.0
30/6/2024;Partido_Nacional;AEB;Plaza Independencia (norte, rambla portu;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AFA;Centro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AGA;Barrio Sur;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AGB;Centro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AHA;Centro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AHB;Barrio Sur;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AIA;Centro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AIB;Centro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AJA;Centro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AJB;Centro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AKA;Barrio Sur;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AKB;Barrio Sur;Primario;32.0;0.0
30/6/2024;Partido_Nacional;ALA;Centro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;ALB;Centro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AMA;Cordón;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AMB;Cordón;Primario;32.0;0.0
30/6/2024;Partido_Nacional;ANA;Cordón;Primario;32.0;0.0
30/6/2024;Partido_Nacional;ANB;Cordón;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AOA;Centro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AOB;Centro;Primario;32.0;0.0
30/6/2024;Partido_Nacional;APA;Palermo;Primario;32.0;0.0
30/6/2024;Partido_Nacional;APB;Palermo;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AQA;Parque Rodó;Primario;32.0;0.0
30/6/2024;Partido_Nacional;AQB;Parque Rodó;Primario;32.0;0.0
30/6/2024;Partido_Nacional;ARA;Cordón;Primario;32.0;1.0
30/6/2024;Partido_Nacional;ARB;Cordón;Primario;32.0;0.0
30/6/2024;Partido_Nacional;ASA;Cordón;Primario;32.0;0.0
