PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Cabildo Abierto,Rivera,14,HAA,Departamental,2424,3,Rivera - Centro
Cabildo Abierto,Rivera,15,HAA,Departamental,88,1,Rivera - Centro
Cabildo Abierto,Rivera,15,HAA,Departamental,2424,1,Rivera - Centro
Cabildo Abierto,Rivera,16,HAA,Departamental,88,6,Rivera - Centro
Cabildo Abierto,Rivera,16,HAA,Departamental,2424,4,Rivera - Centro
Cabildo Abierto,Rivera,17,HAA,Departamental,88,1,Rivera - Centro
Cabildo Abierto,Rivera,17,HAA,Departamental,1801,2,Rivera - Centro
Cabildo Abierto,Rivera,17,HAA,Departamental,2424,5,Rivera - Centro
Cabildo Abierto,Rivera,18,HAA,Departamental,1801,3,Rivera - Centro
Cabildo Abierto,Rivera,18,HAA,Departamental,2424,3,Rivera - Centro
Cabildo Abierto,Rivera,19,HAA,Departamental,1801,4,Rivera - Centro
Cabildo Abierto,Rivera,19,HAA,Departamental,2424,2,Rivera - Centro
Cabildo Abierto,Rivera,20,HAA,Departamental,88,3,Rivera - Centro
Cabildo Abierto,Rivera,20,HAA,Departamental,1801,5,Rivera - Centro
Cabildo Abierto,Rivera,20,HAA,Departamental,2424,7,Rivera - Centro
Cabildo Abierto,Rivera,21,HAB,Departamental,1801,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,21,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,22,HAB,Departamental,88,5,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,22,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,22,HAB,Departamental,1801,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,22,HAB,Departamental,2424,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,23,HAB,Departamental,88,5,Rivera Chico - Saavedra - Cerro del Marco
