PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Basta Ya,Paysandú,125,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,127,KCB,Departamental,69,2,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,128,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,129,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,130,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,131,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,132,KCB,Departamental,69,2,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,133,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,136,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,141,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,143,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,149,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,157,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,158,KCB,Departamental,69,2,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,159,KCB,Departamental,69,2,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,161,KCB,Departamental,69,1,Zona Suroeste - Parkway Sacra
Basta Ya,Paysandú,165,KCC,Departamental,69,1,Zona Norte Oeste
Basta Ya,Paysandú,169,KCC,Departamental,69,1,Zona Norte Oeste
Basta Ya,Paysandú,170,KCC,Departamental,69,1,Zona Norte Oeste
Basta Ya,Paysandú,174,KCC,Departamental,69,1,Zona Norte Oeste
Basta Ya,Paysandú,175,KCC,Departamental,69,1,Zona Norte Oeste
Basta Ya,Paysandú,194,KDA,Departamental,69,1,Zona Suburbana
Basta Ya,Paysandú,200,KDB,Departamental,69,2,Pueblo Porvenir
Basta Ya,Paysandú,208,KDD,Departamental,69,1,Rabón
Basta Ya,Paysandú,235,KFB,Departamental,69,1,Lorenzo Geyres
Basta Ya,Paysandú,260,KGC,Departamental,69,1,Constancia
Basta Ya,Paysandú,265,KIB,Departamental,69,1,Pueblo Gallinal
Basta Ya,Paysandú,9002,KZZ,Departamental,69,3,Unknown
Basta Ya,Paysandú,9003,KZZ,Departamental,69,1,Unknown
Basta Ya,Paysandú,9005,KZZ,Departamental,69,2,Unknown
Cabildo Abierto,Paysandú,1,KAA,Departamental,1510,1,Paysandú Puerto
Cabildo Abierto,Paysandú,2,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,3,KAA,Departamental,1825,1,Paysandú Puerto
Cabildo Abierto,Paysandú,4,KAA,Departamental,271,1,Paysandú Puerto
Cabildo Abierto,Paysandú,4,KAA,Departamental,1510,1,Paysandú Puerto
